id,IncidentNumber (S),AffectedEndUser (S),CI (S),Summary (S)
1,IN666547,System_generated,DNL,The PsShutdown service is marked as an interactive service
2,IN233333,NOTAPP,GBW12345,[GCC]GBW12345 disk failure.
3,IN666447,Quality Assurance,REVENCI,contrlm job LCRhgjj8889 failed
4,IN100000,Human Resources,GRECA,problem with appServer_99
5,IN100001,Media Relations,TSA,problem with appServer_100
6,IN100002,Tech Support,VB,situation MQ opened
7,IN100003,Legal Department,RAVENAT,The PsShutdown service is marked as an interactive service
8,IN100004,Accounting,RAVENESB,situation MQ opened
9,IN100005,Legal Department,RAVENCC,The PsShutdown service is marked as an interactive service
10,IN100006,Legal Department,NEM,situation MQ opened
11,IN100007,Advertising,MARC,How do I connect to the file server?
12,IN100008,System_generated,OMM,Need 3 laptops for demo
13,IN100009,Customer Service,CCAP,Phone redirect for mdavis
14,IN100010,Customer Relations,CASTER,Extra monitor
15,IN100011,Human Resources,GRECA,Printing on level 5 doesn't work
16,IN100012,Media Relations,TSA,Intranet down?
17,IN100013,Research and Development,VB,WFH on friday
18,IN100014,Tech Support,RAVENAT,Printing on level 5 doesn't work
19,IN100015,Finances,RAVENESB,Some gadgets on my JIRA dashboard seem to be broken
20,IN100016,Asset Management,RAVENCC,The printer is not working
21,IN100017,Customer Service,NEM,Intranet server offline
22,IN100018,Finances,MARC,Can't access Intranet on mobile phone
23,IN100019,Advertising,OMM,How do I connect to the file server?
24,IN100020,Sales and Marketing,CCAP,The printer is not working
25,IN100021,Quality Assurance,CASTER,Intranet down?
26,IN100022,System_generated,GRECA,Need an ergonomic keyboard
27,IN100023,NOTAPP,TSA,New employee Jim
28,IN100024,Quality Assurance,VB,A second monitor
29,IN100025,Human Resources,RAVENAT,New employee David Chen
30,IN100026,Media Relations,RAVENESB,Can't access Intranet on mobile phone
31,IN100027,Tech Support,RAVENCC,Guest wifi for Jane from ABC Corp
32,IN100028,Legal Department,NEM,Some gadgets on my JIRA dashboard seem to be broken
33,IN100029,Finances,MARC,Printing on level 5 doesn't work
34,IN100030,Asset Management,OMM,New employee David Chen
35,IN100031,Customer Service,CCAP,Wireless dongle
36,IN100032,Finances,CASTER,Intranet server offline
37,IN100033,Advertising,RAVENESB,Need a new cable to connect laptop to monitors
38,IN100034,Sales and Marketing,RAVENCC,WFH on friday
39,IN100035,Quality Assurance,NEM,Can't access Intranet on mobile phone
40,IN100036,System_generated,MARC,A second monitor
41,IN100037,NOTAPP,RAVENESB,Screenshot / video recording software
42,IN100038,Quality Assurance,RAVENCC,Phone redirect for mdavis
43,IN100039,Human Resources,NEM,Laptop screen blinks
44,IN100040,Media Relations,MARC,VPN access request
45,IN100041,Tech Support,OMM,VPN access request
46,IN100042,Legal Department,CCAP,Can't see Intranet
47,IN100043,Quality Assurance,CASTER,A second monitor
48,IN100044,Human Resources,GRECA,Photo editing software request
49,IN100045,Media Relations,RAVENESB,IDE licenses
50,IN100046,Tech Support,RAVENCC,New employee Jim
51,IN100047,Legal Department,NEM,Wireless router not working
52,IN100048,Finances,MARC,Laptop screen blinks
53,IN100049,Asset Management,OMM,The printer is not working
54,IN100050,Customer Service,CCAP,Email requests enabled
55,IN100051,Finances,CASTER,Need 3 laptops for demo
56,IN100052,Advertising,GRECA,Phone redirect for mdavis
57,IN100053,Sales and Marketing,TSA,VPN access request
58,IN100054,Quality Assurance,VB,Visitor wifi access
59,IN100055,System_generated,RAVENESB,New employee David Chen
60,IN100056,NOTAPP,RAVENCC,Laptop screen blinks
61,IN100057,Quality Assurance,NEM,The printer is not working
62,IN100058,Quality Assurance,MARC,Intranet down?
63,IN100059,Human Resources,OMM,New employee Jim
64,IN100060,Media Relations,CCAP,I cannot login to our HR system
65,IN100061,Tech Support,CASTER,What am I looking at?
66,IN100062,Legal Department,GRECA,Cannot access intranet
67,IN100063,Finances,TSA,New employee Ryan Silva
68,IN100064,Asset Management,VB,I cannot login to our HR system
69,IN100065,Customer Service,RAVENAT,The printer is not working
70,IN100066,Finances,RAVENESB,Guest wifi for Jane from ABC Corp
71,IN100067,System_generated,RAVENAT,Contrlm job Lxhhh267 failed
72,IN100068,System_generated,RAVENESB,Contrlm job Lxhhh268 failed
73,IN100069,System_generated,RAVENAT,Contrlm job Lxhhh269 failed
74,IN100070,System_generated,RAVENAT,Contrlm job Lxhhh270 failed
75,IN100071,System_generated,RAVENAT,Contrlm job Lxhhh271 failed
76,IN100072,System_generated,RAVENAT,Contrlm job Lxhhh272 failed
77,IN100073,System_generated,RAVENESB,Contrlm job Lxhhh273 failed
78,IN100074,System_generated,RAVENAT,Contrlm job Lxhhh274 failed
79,IN100075,System_generated,RAVENESB,Contrlm job Lxhhh275 failed
80,IN100076,System_generated,RAVENCC,Contrlm job Lxhhh276 failed
81,IN100077,System_generated,RAVENNAT,Contrlm job Lxhhh272 failed
82,IN100078,System_generated,RAVENET,Contrlm job Lxhhh273 failed
83,IN100079,System_generated,GRECA,Contrlm job Lxhhh274 failed
84,IN100080,System_generated,NEM,Contrlm job Lxhhh275 failed
85,IN100081,Finances,MARC,Guest wifi for Jane from ABC Corp
86,IN100082,Advertising,OMM,Some gadgets on my JIRA dashboard seem to be broken
87,IN100083,Sales and Marketing,CCAP,Printing on level 5 doesn't work
88,IN100084,Quality Assurance,CASTER,New employee David Chen
89,IN100085,System_generated,GRECA,Wireless dongle
90,IN100086,NOTAPP,RAVENESB,Intranet server offline
91,IN100087,Quality Assurance,RAVENCC,Need a new cable to connect laptop to monitors
92,IN100088,System_generated,NEM,WFH on friday
93,IN100089,NOTAPP,MARC,Can't access Intranet on mobile phone
94,IN100090,System_generated,OMM,A second monitor
95,IN100091,NOTAPP,GAME,GAM page not working
96,IN100092,Quality Assurance,TSA,TF portal inquiery
97,IN100093,System_generated,WHATIFF,WHATIF DOWN!
98,IN100094,NOTAPP,WTF,WTF request
99,IN100095,Quality Assurance,HAHAHA,hahahahahha yes
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
