IncidentNumber (S),AffectedEndUser (S),CI (S),Summary (S),
IN666547,System_generated,DNL,The PsShutdown service is marked as an interactive service,
IN233333,NOTAPP,GBW12345,[GCC]GBW12345 disk failure.,
IN666447,Quality Assurance,REVENCI,contrlm job LCRhgjj8889 failed,
IN100000,Human Resources,GRECA,problem with appServer_99,
IN100001,Media Relations,TSA,problem with appServer_100,
IN100002,Tech Support,VB,situation MQ opened,
IN100003,Legal Department,RAVENAT,The PsShutdown service is marked as an interactive service,
IN100004,Accounting,RAVENESB,situation MQ opened,
IN100005,Legal Department,RAVENCC,The PsShutdown service is marked as an interactive service,
IN100006,Legal Department,NEM,situation MQ opened,
IN100007,Advertising,MARC,How do I connect to the file server?,
IN100008,System_generated,OMM,Need 3 laptops for demo,
IN100009,Customer Service,CCAP,Phone redirect for mdavis,
IN100010,Customer Relations,CASTER,Extra monitor,
IN100011,Human Resources,GRECA,Printing on level 5 doesn't work,
IN100012,Media Relations,TSA,Intranet down?,
IN100013,Research and Development,VB,WFH on friday,
IN100014,Tech Support,RAVENAT,Printing on level 5 doesn't work,
IN100015,Finances,RAVENESB,Some gadgets on my JIRA dashboard seem to be broken,
IN100016,Asset Management,RAVENCC,The printer is not working,
IN100017,Customer Service,NEM,Intranet server offline,
IN100018,Finances,MARC,Can't access Intranet on mobile phone,
IN100019,Advertising,OMM,How do I connect to the file server?,
IN100020,Sales and Marketing,CCAP,The printer is not working,
IN100021,Quality Assurance,CASTER,Intranet down?,
IN100022,System_generated,GRECA,Need an ergonomic keyboard,
IN100023,NOTAPP,TSA,New employee Jim,
IN100024,Quality Assurance,VB,A second monitor,
IN100025,Human Resources,RAVENAT,New employee David Chen,
IN100026,Media Relations,RAVENESB,Can't access Intranet on mobile phone,
IN100027,Tech Support,RAVENCC,Guest wifi for Jane from ABC Corp,
IN100028,Legal Department,NEM,Some gadgets on my JIRA dashboard seem to be broken,
IN100029,Finances,MARC,Printing on level 5 doesn't work,
IN100030,Asset Management,OMM,New employee David Chen,
IN100031,Customer Service,CCAP,Wireless dongle,
IN100032,Finances,CASTER,Intranet server offline,
